#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/16:43:00      0.700000         347.500        39.0400
31-10-2012/16:44:00      0.840000         346.200        40.4500
31-10-2012/16:45:00       1.07000         346.200        40.4400
31-10-2012/16:46:00      0.380000         346.600        39.2900
31-10-2012/16:47:00      0.240000         348.000        38.7500
31-10-2012/16:48:00       1.58000         348.300        38.5900
31-10-2012/16:49:00       1.41000         347.800        37.9600
31-10-2012/16:50:00      0.370000         347.200        34.7800
31-10-2012/16:51:00      -2.29000         346.700        32.4200
31-10-2012/16:52:00       2.63000         344.000        33.8100
31-10-2012/16:53:00      0.320000         343.900        33.8700
31-10-2012/16:54:00       2.86000         345.400        23.9500
31-10-2012/16:55:00       2.45000         345.400        23.9500
31-10-2012/16:56:00       2.07000         342.200        26.3600
31-10-2012/16:57:00      0.210000         342.900        25.2300
31-10-2012/16:58:00    -0.0900000         343.700        24.1200
31-10-2012/16:59:00     -0.960000         345.500        27.7000
31-10-2012/17:00:00      -1.64000         345.500        27.7000
31-10-2012/17:01:00     -0.740000         346.600        29.9000
31-10-2012/17:02:00      -1.36000         347.100        29.8900
31-10-2012/17:03:00      -1.68000         347.700        29.8800
31-10-2012/17:04:00      -2.44000         344.100        25.5900
31-10-2012/17:05:00      -2.48000         344.100        25.5900
31-10-2012/17:06:00      -1.98000         345.900        26.7800
31-10-2012/17:07:00      -1.35000         346.300        26.9100
31-10-2012/17:08:00      -1.17000         346.300        25.9100
31-10-2012/17:09:00     -0.590000         347.300        26.4100
31-10-2012/17:10:00     -0.690000         348.800        26.0200
31-10-2012/17:11:00     -0.140000         347.400        27.1400
31-10-2012/17:12:00      -1.87000         346.500        27.8000
31-10-2012/17:13:00      -1.27000         346.400        26.3200
31-10-2012/17:14:00      0.500000         347.300        25.4600
31-10-2012/17:15:00      0.660000         348.500        24.8900
31-10-2012/17:16:00      0.740000         347.500        25.1400
31-10-2012/17:17:00       1.62000         347.500        25.1400
31-10-2012/17:18:00       1.87000         347.500        25.1500
31-10-2012/17:19:00       1.30000         346.300        26.0700
31-10-2012/17:20:00       1.18000         346.400        26.4600
31-10-2012/17:21:00      0.940000         346.700        27.1600
31-10-2012/17:22:00       1.04000         346.900        27.2000
31-10-2012/17:23:00      0.490000         346.900        27.2000
31-10-2012/17:24:00      0.430000         346.800        26.5500
31-10-2012/17:25:00     -0.180000         346.800        26.5500
31-10-2012/17:26:00      0.490000         348.900        28.8500
31-10-2012/17:27:00      0.790000         348.900        28.8500
31-10-2012/17:28:00      0.570000         348.500        26.3300
31-10-2012/17:29:00       1.54000         348.500        26.3300
31-10-2012/17:30:00      0.790000         348.500        26.3300
31-10-2012/17:31:00      0.570000         349.900        27.5800
31-10-2012/17:32:00     -0.310000         349.900        27.5800
31-10-2012/17:33:00      0.120000         348.600        27.7900
31-10-2012/17:34:00      0.170000         348.600        27.7900
31-10-2012/17:35:00      0.200000         349.000        28.4200
31-10-2012/17:36:00      0.680000         349.100        28.5400
31-10-2012/17:37:00       1.02000         349.800        28.6200
31-10-2012/17:38:00      0.910000         350.900        28.6000
31-10-2012/17:39:00       1.67000         350.200        28.3000
31-10-2012/17:40:00       1.04000         351.100        27.6100
31-10-2012/17:41:00       1.04000         351.600        27.2200
31-10-2012/17:42:00       1.04000         351.900        28.0700
31-10-2012/17:43:00       1.29000         352.700        30.4000
31-10-2012/17:44:00       1.45000         349.100        29.5700
31-10-2012/17:45:00       2.29000         348.400        29.2400
31-10-2012/17:46:00       1.42000         348.900        27.7200
31-10-2012/17:47:00      0.670000         349.800        27.1500
31-10-2012/17:48:00      0.130000         350.300        27.4400
31-10-2012/17:49:00      0.400000         349.900        27.1100
31-10-2012/17:50:00      0.350000         349.700        26.7400
31-10-2012/17:51:00     0.0100000         349.500        25.8900
31-10-2012/17:52:00       2.89000         350.300        26.8700
31-10-2012/17:53:00       3.03000         354.000        26.0300
31-10-2012/17:54:00       2.44000         356.600        25.3900
31-10-2012/17:55:00       2.91000         356.300        26.3100
31-10-2012/17:56:00       2.80000         356.900        26.2200
31-10-2012/17:57:00       4.09000         357.900        26.0800
31-10-2012/17:58:00       4.66000         355.900        27.1900
31-10-2012/17:59:00       4.86000         355.900        27.1900
31-10-2012/18:00:00       4.85000         355.900        27.1900
31-10-2012/18:01:00       5.20000         354.200        26.7400
31-10-2012/18:02:00       5.28000         354.200        26.7300
31-10-2012/18:03:00       5.44000         354.600        25.2800
31-10-2012/18:04:00       5.21000         354.200        26.0000
31-10-2012/18:05:00       4.80000         353.400        28.0400
31-10-2012/18:06:00       4.87000         352.400        29.1000
31-10-2012/18:07:00       4.77000         350.500        26.7100
31-10-2012/18:08:00       4.33000         350.400        26.5300
31-10-2012/18:09:00       4.63000         350.700        26.9900
31-10-2012/18:10:00       5.41000         350.700        27.0000
31-10-2012/18:11:00       6.21000             nan            nan
31-10-2012/18:12:00       4.59000         350.700        28.5300
31-10-2012/18:13:00       4.22000         350.700        28.5300
31-10-2012/18:14:00       3.48000             nan            nan
31-10-2012/18:15:00       3.43000         349.600        29.0600
31-10-2012/18:16:00       3.67000         349.600        29.0600
31-10-2012/18:17:00       3.96000         349.300        30.0200
31-10-2012/18:18:00       4.85000         349.200        30.2200
31-10-2012/18:19:00       3.92000         349.600        28.3900
31-10-2012/18:20:00       3.85000         349.700        27.7200
31-10-2012/18:21:00       3.72000         349.800        27.0900
31-10-2012/18:22:00       3.51000         349.500        29.0900
31-10-2012/18:23:00       3.35000         349.500        29.0900
31-10-2012/18:24:00       3.13000             nan            nan
31-10-2012/18:25:00           nan             nan            nan
31-10-2012/18:26:00       3.03000             nan            nan
31-10-2012/18:27:00       2.41000             nan            nan
31-10-2012/18:28:00       2.66000         350.000        29.3200
31-10-2012/18:29:00       2.72000         350.800        29.3800
31-10-2012/18:30:00      0.660000         350.600        28.9000
31-10-2012/18:31:00       4.84000         349.100        24.9400
31-10-2012/18:32:00       3.78000         348.800        22.6200
31-10-2012/18:33:00       5.16000         347.000        22.0600
31-10-2012/18:34:00       5.95000         347.000        22.0600
31-10-2012/18:35:00       2.38000         347.100        22.7000
31-10-2012/18:36:00       2.81000         347.300        22.4800
31-10-2012/18:37:00       5.07000         348.800        21.3500
31-10-2012/18:38:00       4.06000         349.900        20.4900
31-10-2012/18:39:00           nan             nan            nan
31-10-2012/18:40:00       1.80000         349.800        21.8500
31-10-2012/18:41:00       1.68000         349.100        21.7400
31-10-2012/18:42:00       1.78000         345.300        21.1600
31-10-2012/18:43:00       1.19000         344.800        19.9500
31-10-2012/18:44:00      -2.01000         346.300        21.7400
31-10-2012/18:45:00      -3.76000         347.900        23.7400
31-10-2012/18:46:00      -5.63000         347.300        22.5100
31-10-2012/18:47:00      -7.27000         347.900        22.4500
31-10-2012/18:48:00      -2.38000         342.800        22.1700
31-10-2012/18:49:00      -2.55000         332.000        22.1800
31-10-2012/18:50:00      0.480000         346.300        22.3400
31-10-2012/18:51:00     -0.680000         349.000        22.0400
31-10-2012/18:52:00       3.81000         353.400        21.2800
31-10-2012/18:53:00       3.91000         351.500        21.1400
31-10-2012/18:54:00       4.60000         354.400        22.0400
31-10-2012/18:55:00       4.07000         338.800        22.7000
31-10-2012/18:56:00       3.48000         339.300        22.5200
31-10-2012/18:57:00       3.93000         342.400        21.7000
31-10-2012/18:58:00       5.12000         345.600        21.5400
31-10-2012/18:59:00       7.24000         333.500        20.2500
31-10-2012/19:00:00       6.79000         331.500        20.6200
31-10-2012/19:01:00       7.23000         334.100        21.7000
31-10-2012/19:02:00       7.59000         333.200        21.9600
31-10-2012/19:03:00           nan         333.200        21.9600
31-10-2012/19:04:00           nan             nan            nan
31-10-2012/19:05:00           nan             nan            nan
31-10-2012/19:06:00           nan             nan            nan
31-10-2012/19:07:00           nan             nan            nan
31-10-2012/19:08:00           nan             nan            nan
31-10-2012/19:09:00       7.01000             nan            nan
31-10-2012/19:10:00           nan             nan            nan
31-10-2012/19:11:00           nan             nan            nan
31-10-2012/19:12:00           nan             nan            nan
31-10-2012/19:13:00           nan             nan            nan
31-10-2012/19:14:00           nan             nan            nan
31-10-2012/19:15:00           nan             nan            nan
31-10-2012/19:16:00           nan             nan            nan
31-10-2012/19:17:00           nan             nan            nan
31-10-2012/19:18:00       6.97000             nan            nan
31-10-2012/19:19:00           nan             nan            nan
31-10-2012/19:20:00           nan             nan            nan
31-10-2012/19:21:00           nan             nan            nan
31-10-2012/19:22:00           nan             nan            nan
31-10-2012/19:23:00       7.40000             nan            nan
31-10-2012/19:24:00       7.39000             nan            nan
31-10-2012/19:25:00       7.15000         334.900        18.6400
31-10-2012/19:26:00       7.41000         334.900        18.6400
31-10-2012/19:27:00       6.95000         331.600        19.7900
31-10-2012/19:28:00       5.51000         331.600        19.8000
31-10-2012/19:29:00       5.46000             nan            nan
31-10-2012/19:30:00       7.64000         333.500        16.8000
31-10-2012/19:31:00       7.55000         335.100        17.8300
31-10-2012/19:32:00       7.11000         334.000        18.5400
31-10-2012/19:33:00       7.68000         336.300        18.1400
31-10-2012/19:34:00       7.91000         336.300        18.1400
31-10-2012/19:35:00       7.97000         338.900        18.6300
31-10-2012/19:36:00       7.62000         332.600        18.4700
31-10-2012/19:37:00       7.95000         337.000        18.9800
31-10-2012/19:38:00       7.90000         339.500        19.2300
31-10-2012/19:39:00       8.12000             nan            nan
31-10-2012/19:40:00       8.55000             nan            nan
31-10-2012/19:41:00       7.73000         330.100        18.8400
31-10-2012/19:42:00       8.01000         330.100        18.8400
31-10-2012/19:43:00       7.98000         330.100        18.8400
31-10-2012/19:44:00       8.33000             nan            nan
31-10-2012/19:45:00       7.13000             nan            nan
31-10-2012/19:46:00       7.12000         333.300        18.5100
31-10-2012/19:47:00       7.22000         333.800        18.6500
31-10-2012/19:48:00       6.95000         335.700        19.2200
31-10-2012/19:49:00       6.71000         334.400        19.4000
31-10-2012/19:50:00       6.13000         334.400        19.4000
31-10-2012/19:51:00       6.40000         339.600        20.5500
31-10-2012/19:52:00       5.74000         339.600        20.5500
31-10-2012/19:53:00       3.12000         343.800        21.0700
31-10-2012/19:54:00      -4.09000         345.200        21.2300
31-10-2012/19:55:00      -4.00000         358.100        22.1900
31-10-2012/19:56:00      -4.15000         358.100        22.1900
31-10-2012/19:57:00     -0.310000         358.100        22.1900
31-10-2012/19:58:00      -2.89000         357.200        22.7200
31-10-2012/19:59:00      -4.73000         358.300        22.6900
31-10-2012/20:00:00      -3.96000         359.800        22.6400
31-10-2012/20:01:00      -4.94000             nan            nan
31-10-2012/20:02:00      -5.42000         359.200        23.1800
31-10-2012/20:03:00      -7.51000         358.900        22.9400
31-10-2012/20:04:00      -7.82000         358.100        23.6900
31-10-2012/20:05:00      -4.94000         348.800        25.0800
31-10-2012/20:06:00      -4.67000         351.300        19.5600
31-10-2012/20:07:00      -3.94000         351.400        19.1800
31-10-2012/20:08:00      -2.80000         348.000        22.1200
31-10-2012/20:09:00           nan         347.700        22.4100
31-10-2012/20:10:00      -6.19000             nan            nan
31-10-2012/20:11:00           nan             nan            nan
31-10-2012/20:12:00      -6.55000             nan            nan
31-10-2012/20:13:00      -2.69000         346.100        23.9000
31-10-2012/20:14:00      -3.47000         346.100        23.9000
31-10-2012/20:15:00      -5.58000         361.700        21.4800
31-10-2012/20:16:00      -5.32000         363.300        21.2300
31-10-2012/20:17:00      -5.97000         363.300        21.2300
31-10-2012/20:18:00      -5.72000         357.400        23.7900
31-10-2012/20:19:00      -5.61000         363.600        24.3900
31-10-2012/20:20:00      -5.97000         364.700        24.4900
31-10-2012/20:21:00      -6.12000         351.500        20.8400
31-10-2012/20:22:00      -5.95000         351.500        20.8400
31-10-2012/20:23:00      -6.31000             nan            nan
31-10-2012/20:24:00      -5.75000         359.000        22.5900
31-10-2012/20:25:00      -6.59000         361.700        22.5700
31-10-2012/20:26:00      -6.62000         359.000        23.5500
31-10-2012/20:27:00      -5.42000         357.700        23.8200
31-10-2012/20:28:00      -4.68000         351.300        22.2900
31-10-2012/20:29:00      -5.08000         351.600        22.2400
31-10-2012/20:30:00      -5.41000         352.900        22.0600
31-10-2012/20:31:00      -4.25000         351.100        23.5400
31-10-2012/20:32:00      -4.52000         351.000        23.5300
31-10-2012/20:33:00      -6.01000         350.700        23.4100
31-10-2012/20:34:00      -6.26000         355.800        23.0400
31-10-2012/20:35:00      -6.49000         358.300        22.4400
31-10-2012/20:36:00      -6.57000         353.000        22.2300
31-10-2012/20:37:00      -3.83000         354.300        22.1600
31-10-2012/20:38:00      -4.42000         358.300        21.9300
31-10-2012/20:39:00      -5.14000         357.200        22.7800
31-10-2012/20:40:00      -6.29000         357.200        22.7800
31-10-2012/20:41:00      -6.62000         352.200        22.4000
31-10-2012/20:42:00      -6.69000         352.200        22.4000
31-10-2012/20:43:00      -8.74000         353.400        20.6300
31-10-2012/20:44:00      -8.38000         353.700        20.2300
31-10-2012/20:45:00      -3.15000         351.600        24.5400
31-10-2012/20:46:00      -1.16000         351.600        24.5400
31-10-2012/20:47:00      -1.73000         352.700        20.9100
31-10-2012/20:48:00      -2.56000         352.700        20.9100
31-10-2012/20:49:00      -2.06000         353.000        21.0000
31-10-2012/20:50:00      -1.85000         353.000        20.9800
31-10-2012/20:51:00      -1.31000         353.300        20.6800
31-10-2012/20:52:00     -0.220000         353.800        21.1400
31-10-2012/20:53:00       1.31000         356.300        21.6600
31-10-2012/20:54:00       6.40000         358.800        22.0300
31-10-2012/20:55:00       4.87000         356.800        17.5300
31-10-2012/20:56:00       4.81000         356.800        17.5200
31-10-2012/20:57:00       3.64000         356.800        17.4200
31-10-2012/20:58:00       3.48000         356.800        17.4200
31-10-2012/20:59:00       2.68000             nan            nan
31-10-2012/21:00:00           nan             nan            nan
31-10-2012/21:01:00       2.24000             nan            nan
31-10-2012/21:02:00      0.760000         350.900        18.0200
31-10-2012/21:03:00       1.73000         351.800        17.9300
31-10-2012/21:04:00       3.04000         355.400        17.6300
31-10-2012/21:05:00       2.89000         355.100        19.0500
31-10-2012/21:06:00       4.31000         355.100        19.0900
31-10-2012/21:07:00       4.85000         355.100        19.0900
31-10-2012/21:08:00       6.24000         352.400        17.4900
31-10-2012/21:09:00       5.08000         352.800        17.8200
31-10-2012/21:10:00       4.33000         353.900        17.8500
31-10-2012/21:11:00       3.71000         356.200        17.4300
31-10-2012/21:12:00       3.59000         357.100        17.2400
31-10-2012/21:13:00       2.07000         355.200        16.9300
31-10-2012/21:14:00       2.62000         355.200        16.9300
31-10-2012/21:15:00       2.29000         355.200        16.9300
31-10-2012/21:16:00       2.45000         355.300        16.5000
31-10-2012/21:17:00       2.18000         355.300        16.5000
31-10-2012/21:18:00       3.98000         355.300        16.5000
31-10-2012/21:19:00       4.13000         357.000        16.8400
31-10-2012/21:20:00       4.55000         357.000        16.8400
31-10-2012/21:21:00       3.59000         354.400        16.9900
31-10-2012/21:22:00       2.15000         354.400        16.9900
31-10-2012/21:23:00       4.46000         358.300        18.5200
31-10-2012/21:24:00       5.64000         360.100        18.7700
31-10-2012/21:25:00       3.13000         355.200        18.1100
31-10-2012/21:26:00       5.85000         354.900        18.1500
31-10-2012/21:27:00       5.93000         356.500        18.5400
31-10-2012/21:28:00       5.81000         357.200        19.2700
31-10-2012/21:29:00       6.05000         357.200        19.2700
31-10-2012/21:30:00       6.18000         352.900        18.9700
31-10-2012/21:31:00       6.54000         351.600        18.9000
31-10-2012/21:32:00       7.01000         350.600        18.8400
31-10-2012/21:33:00       8.16000         355.100        18.2700
31-10-2012/21:34:00       8.85000         354.600        18.3500
31-10-2012/21:35:00       9.55000         352.300        18.9000
31-10-2012/21:36:00       9.09000         354.700        20.7300
31-10-2012/21:37:00       8.69000         356.100        23.1300
31-10-2012/21:38:00       2.83000         356.200        23.2500
31-10-2012/21:39:00       1.56000         357.500        29.1300
31-10-2012/21:40:00      0.400000         357.500        29.1300
31-10-2012/21:41:00      0.390000         356.200        32.8000
31-10-2012/21:42:00      0.460000         356.100        33.0900
31-10-2012/21:43:00      0.500000         356.200        33.1700
31-10-2012/21:44:00      0.890000         356.900        32.4800
31-10-2012/21:45:00     -0.320000         357.000        32.4100
31-10-2012/21:46:00     -0.230000         356.600        33.5600
31-10-2012/21:47:00     -0.260000         356.700        33.1100
31-10-2012/21:48:00     -0.260000         356.900        32.6500
31-10-2012/21:49:00       1.92000         357.500        31.3600
31-10-2012/21:50:00       3.62000         358.900        30.0000
31-10-2012/21:51:00       5.88000         356.000        30.7200
31-10-2012/21:52:00       5.61000         353.300        31.4400
31-10-2012/21:53:00       5.69000         352.200        32.7600
31-10-2012/21:54:00       6.14000         352.200        32.7600
31-10-2012/21:55:00       6.29000         352.200        32.7600
31-10-2012/21:56:00       6.30000         353.900        32.1900
31-10-2012/21:57:00       6.23000         360.000        33.5100
31-10-2012/21:58:00       6.67000         362.400        34.0200
31-10-2012/21:59:00       6.75000         352.500        32.8000
31-10-2012/22:00:00       6.74000         352.500        32.8000
31-10-2012/22:01:00       6.75000         353.400        33.5100
31-10-2012/22:02:00       7.21000         359.800        31.2000
31-10-2012/22:03:00       6.88000         363.100        30.0200
31-10-2012/22:04:00       8.48000         357.400        24.9000
31-10-2012/22:05:00       9.58000         357.400        24.9000
31-10-2012/22:06:00       7.36000         358.000        29.3600
31-10-2012/22:07:00       9.64000         358.300        31.9300
31-10-2012/22:08:00           nan             nan            nan
31-10-2012/22:09:00       9.64000         355.100        24.5200
31-10-2012/22:10:00       9.76000         354.900        25.0200
31-10-2012/22:11:00       9.56000         353.800        25.3400
31-10-2012/22:12:00       10.1400         353.200        24.0500
31-10-2012/22:13:00       10.1000         352.600        23.3100
31-10-2012/22:14:00           nan         353.500        23.8200
31-10-2012/22:15:00       8.82000             nan            nan
31-10-2012/22:16:00       9.38000         353.800        25.3900
31-10-2012/22:17:00       10.3200         354.400        24.7400
31-10-2012/22:18:00       10.5800         356.000        22.9900
31-10-2012/22:19:00       10.4500         354.100        23.8600
31-10-2012/22:20:00       10.6200         354.100        23.8600
31-10-2012/22:21:00       10.0500         354.100        23.8600
31-10-2012/22:22:00       10.7500         351.900        23.2200
31-10-2012/22:23:00       11.3700         352.200        23.2000
31-10-2012/22:24:00       11.4300         356.000        22.9500
31-10-2012/22:25:00       11.7400         355.800        21.8300
31-10-2012/22:26:00       11.7700         355.200        19.7400
31-10-2012/22:27:00       11.5500         355.800        19.4900
31-10-2012/22:28:00       11.3200         355.900        19.4300
31-10-2012/22:29:00       10.9000         355.900        19.1000
31-10-2012/22:30:00       10.7700         356.200        19.3300
31-10-2012/22:31:00       9.56000         356.500        19.5700
31-10-2012/22:32:00       9.51000         356.100        18.9500
31-10-2012/22:33:00       8.60000         356.300        18.4700
31-10-2012/22:34:00           nan             nan            nan
31-10-2012/22:35:00       8.88000         357.500        17.7500
31-10-2012/22:36:00       8.35000         357.600        18.1500
31-10-2012/22:37:00       8.64000         358.200        19.8900
31-10-2012/22:38:00       7.85000         358.300        18.5600
31-10-2012/22:39:00       7.31000         358.300        18.5400
31-10-2012/22:40:00       7.53000             nan            nan
31-10-2012/22:41:00       7.95000         355.100        18.7300
31-10-2012/22:42:00       7.81000         355.100        18.7300
31-10-2012/22:43:00       7.93000         354.500        17.1300
31-10-2012/22:44:00       7.65000         354.500        17.1300
31-10-2012/22:45:00       7.38000         353.400        17.3000
31-10-2012/22:46:00       7.09000         353.200        17.3200
31-10-2012/22:47:00       7.01000         353.200        17.3200
31-10-2012/22:48:00       6.99000         356.400        18.0900
31-10-2012/22:49:00       6.88000         356.400        18.0900
31-10-2012/22:50:00       6.68000         354.600        18.0500
31-10-2012/22:51:00       5.88000         354.600        18.0500
31-10-2012/22:52:00       6.19000         357.300        18.7300
31-10-2012/22:53:00       6.83000         359.100        19.1700
31-10-2012/22:54:00       6.77000         357.300        18.8000
31-10-2012/22:55:00       6.50000         357.300        18.8000
31-10-2012/22:56:00       6.44000         357.500        20.4000
31-10-2012/22:57:00       6.38000         357.500        20.4000
31-10-2012/22:58:00       5.43000         355.700        21.9200
31-10-2012/22:59:00       4.38000         355.700        21.9200
31-10-2012/23:00:00       3.36000         351.700        25.6100
31-10-2012/23:01:00       2.78000         351.700        25.6100
31-10-2012/23:02:00       3.20000         349.500        21.2600
31-10-2012/23:03:00       2.81000         350.400        21.2000
31-10-2012/23:04:00       1.58000         350.800        21.1800
31-10-2012/23:05:00       1.05000         352.000        21.2600
31-10-2012/23:06:00      0.180000         352.000        21.2600
31-10-2012/23:07:00      0.600000         350.800        21.6300
31-10-2012/23:08:00     0.0100000         351.000        21.6400
31-10-2012/23:09:00       4.57000         356.800        19.8500
31-10-2012/23:10:00       3.16000         358.100        18.6400
31-10-2012/23:11:00       2.23000         357.900        17.9300
31-10-2012/23:12:00       3.16000         354.300        20.7100
31-10-2012/23:13:00       2.12000         363.800        19.1000
31-10-2012/23:14:00      0.280000         367.600        19.3200
31-10-2012/23:15:00     -0.480000         371.700        19.7400
31-10-2012/23:16:00      -1.00000         371.700        19.7400
31-10-2012/23:17:00      -1.13000         370.100        18.5900
31-10-2012/23:18:00     -0.790000         370.100        18.5900
31-10-2012/23:19:00      0.120000             nan            nan
31-10-2012/23:20:00      0.780000         359.500        18.8800
31-10-2012/23:21:00     -0.570000         359.500        18.8800
31-10-2012/23:22:00      -1.52000         359.500        18.8600
31-10-2012/23:23:00     -0.900000         359.200        18.3200
31-10-2012/23:24:00       2.91000         359.700        17.9900
31-10-2012/23:25:00       1.71000         360.200        17.6600
31-10-2012/23:26:00      0.830000         358.500        17.6800
31-10-2012/23:27:00      0.470000         358.400        17.6800
31-10-2012/23:28:00      0.300000         356.300        18.3100
31-10-2012/23:29:00      -2.25000         356.700        18.3700
31-10-2012/23:30:00      -2.83000         359.400        18.4800
31-10-2012/23:31:00      -2.41000         359.400        18.4800
31-10-2012/23:32:00      -2.50000         351.600        16.4500
31-10-2012/23:33:00      -2.19000         352.000        16.6300
31-10-2012/23:34:00      -5.05000         355.400        18.0700
31-10-2012/23:35:00      -4.39000         358.700        19.0900
31-10-2012/23:36:00      -4.23000         358.600        19.8900
31-10-2012/23:37:00      -4.07000         358.700        19.9400
31-10-2012/23:38:00      -4.49000         359.400        20.0600
31-10-2012/23:39:00      -4.45000         358.700        19.7400
31-10-2012/23:40:00      -3.97000         358.400        19.5700
31-10-2012/23:41:00      -3.78000         358.100        19.0100
31-10-2012/23:42:00      -3.91000         358.100        18.9900
31-10-2012/23:43:00      -4.60000         355.700        19.0800
31-10-2012/23:44:00      -4.50000         355.700        19.1000
31-10-2012/23:45:00      -4.17000         356.800        19.6900
31-10-2012/23:46:00      -4.18000         357.100        18.8100
31-10-2012/23:47:00      -4.44000         357.300        18.4000
31-10-2012/23:48:00      -4.55000         356.500        18.2700
31-10-2012/23:49:00      -4.20000         357.100        18.2000
31-10-2012/23:50:00      -3.44000         357.700        18.1300
31-10-2012/23:51:00      -3.82000             nan            nan
31-10-2012/23:52:00      -3.55000             nan            nan
31-10-2012/23:53:00      -3.80000             nan            nan
31-10-2012/23:54:00      -3.69000             nan            nan
31-10-2012/23:55:00           nan             nan            nan
31-10-2012/23:56:00           nan             nan            nan
31-10-2012/23:57:00      -2.58000             nan            nan
31-10-2012/23:58:00      -2.04000         361.200        17.2700
31-10-2012/23:59:00      -1.39000         361.200        17.2700
01-11-2012/00:00:00      -1.55000         362.100        17.9500
