#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/03:09:00       1.12000         279.800        7.99000
31-10-2012/03:10:00      0.480000         279.700        7.52000
31-10-2012/03:11:00       1.42000         279.300        7.33000
31-10-2012/03:12:00      0.600000         280.100        7.77000
31-10-2012/03:13:00     0.0800000             nan            nan
31-10-2012/03:14:00     -0.140000             nan            nan
31-10-2012/03:15:00           nan         279.500        7.82000
31-10-2012/03:16:00       2.59000         279.500        7.82000
31-10-2012/03:17:00           nan         279.500        7.82000
31-10-2012/03:18:00           nan             nan            nan
31-10-2012/03:19:00           nan             nan            nan
31-10-2012/03:20:00       2.60000             nan            nan
31-10-2012/03:21:00           nan             nan            nan
31-10-2012/03:22:00           nan             nan            nan
31-10-2012/03:23:00           nan             nan            nan
31-10-2012/03:24:00       2.51000             nan            nan
31-10-2012/03:25:00       2.51000             nan            nan
31-10-2012/03:26:00           nan             nan            nan
31-10-2012/03:27:00           nan             nan            nan
31-10-2012/03:28:00       2.49000             nan            nan
31-10-2012/03:29:00       2.49000             nan            nan
31-10-2012/03:30:00           nan             nan            nan
31-10-2012/03:31:00           nan             nan            nan
31-10-2012/03:32:00       2.50000             nan            nan
31-10-2012/03:33:00           nan             nan            nan
31-10-2012/03:34:00           nan             nan            nan
31-10-2012/03:35:00       2.51000             nan            nan
31-10-2012/03:36:00       2.51000             nan            nan
31-10-2012/03:37:00      0.280000             nan            nan
31-10-2012/03:38:00      0.280000             nan            nan
31-10-2012/03:39:00       2.59000             nan            nan
31-10-2012/03:40:00           nan             nan            nan
31-10-2012/03:41:00      0.290000             nan            nan
31-10-2012/03:42:00       2.44000             nan            nan
31-10-2012/03:43:00           nan             nan            nan
31-10-2012/03:44:00       2.49000         280.400        7.62000
31-10-2012/03:45:00       2.07000         280.200        7.59000
31-10-2012/03:46:00      0.360000         277.100        7.20000
31-10-2012/03:47:00       1.94000         277.000        7.19000
31-10-2012/03:48:00           nan             nan            nan
31-10-2012/03:49:00      0.530000             nan            nan
31-10-2012/03:50:00       1.62000             nan            nan
31-10-2012/03:51:00           nan             nan            nan
31-10-2012/03:52:00       1.57000             nan            nan
31-10-2012/03:53:00      0.640000         272.800        7.16000
31-10-2012/03:54:00       1.61000         272.800        7.16000
31-10-2012/03:55:00      0.750000         272.800        7.16000
31-10-2012/03:56:00       1.30000             nan            nan
31-10-2012/03:57:00      0.710000             nan            nan
31-10-2012/03:58:00      0.740000         279.700        7.54000
31-10-2012/03:59:00       1.47000         279.800        7.59000
31-10-2012/04:00:00      0.700000         281.000        8.31000
31-10-2012/04:01:00       1.34000         281.200        8.44000
31-10-2012/04:02:00       1.97000             nan            nan
31-10-2012/04:03:00       1.55000         280.200        8.11000
31-10-2012/04:04:00       1.40000         278.900        7.95000
31-10-2012/04:05:00       1.44000         280.000        7.92000
31-10-2012/04:06:00       1.55000         280.000        7.91000
31-10-2012/04:07:00      0.810000         279.700        8.00000
31-10-2012/04:08:00      0.370000         279.500        8.13000
31-10-2012/04:09:00      0.830000         279.500        8.26000
31-10-2012/04:10:00       1.66000         279.500        8.20000
31-10-2012/04:11:00       2.00000         278.700        7.64000
31-10-2012/04:12:00       1.37000         280.600        7.58000
31-10-2012/04:13:00       1.50000         280.800        7.59000
31-10-2012/04:14:00       1.06000         275.800        7.75000
31-10-2012/04:15:00      0.290000         276.300        7.80000
31-10-2012/04:16:00      0.180000         278.500        8.01000
31-10-2012/04:17:00    -0.0400000         280.900        8.14000
31-10-2012/04:18:00      0.380000         277.400        8.61000
31-10-2012/04:19:00      0.240000         280.700        8.23000
31-10-2012/04:20:00     0.0800000         276.900        7.81000
31-10-2012/04:21:00      0.280000         275.100        7.43000
31-10-2012/04:22:00     -0.250000         275.500        7.53000
31-10-2012/04:23:00     -0.140000         275.600        7.48000
31-10-2012/04:24:00     -0.770000             nan            nan
31-10-2012/04:25:00     -0.750000             nan            nan
31-10-2012/04:26:00     -0.810000         274.300        7.15000
31-10-2012/04:27:00     -0.470000         274.300        7.15000
31-10-2012/04:28:00     -0.870000         277.900        7.34000
31-10-2012/04:29:00     -0.730000         277.900        7.34000
31-10-2012/04:30:00      -1.02000         277.900        7.34000
31-10-2012/04:31:00      -1.08000             nan            nan
31-10-2012/04:32:00     -0.630000             nan            nan
31-10-2012/04:33:00     -0.720000         276.800        7.52000
31-10-2012/04:34:00      -1.19000         277.200        7.57000
31-10-2012/04:35:00      -2.04000         277.400        7.60000
31-10-2012/04:36:00      -2.52000             nan            nan
31-10-2012/04:37:00      -2.62000             nan            nan
31-10-2012/04:38:00      -2.43000         277.900        8.31000
31-10-2012/04:39:00      -2.73000         278.300        8.01000
31-10-2012/04:40:00      -2.62000         279.400        7.15000
31-10-2012/04:41:00      -2.72000         279.400        7.15000
31-10-2012/04:42:00           nan             nan            nan
31-10-2012/04:43:00      -3.05000             nan            nan
31-10-2012/04:44:00      -2.06000         272.200        7.61000
31-10-2012/04:45:00     0.0800000         273.700        7.59000
31-10-2012/04:46:00       1.09000         275.100        7.58000
31-10-2012/04:47:00      0.940000             nan            nan
31-10-2012/04:48:00      0.900000             nan            nan
31-10-2012/04:49:00       1.59000         271.700        7.82000
31-10-2012/04:50:00       2.05000         271.700        7.82000
31-10-2012/04:51:00       2.13000             nan            nan
31-10-2012/04:52:00       2.00000         272.000        7.88000
31-10-2012/04:53:00       1.86000         272.000        7.88000
31-10-2012/04:54:00       1.78000             nan            nan
31-10-2012/04:55:00       1.23000         268.100        7.52000
31-10-2012/04:56:00           nan         268.100        7.52000
31-10-2012/04:57:00       1.14000             nan            nan
31-10-2012/04:58:00       1.29000             nan            nan
31-10-2012/04:59:00       1.29000             nan            nan
31-10-2012/05:00:00       1.46000             nan            nan
31-10-2012/05:01:00       1.46000             nan            nan
31-10-2012/05:02:00       1.18000             nan            nan
31-10-2012/05:03:00       1.18000             nan            nan
31-10-2012/05:04:00      0.730000             nan            nan
31-10-2012/05:05:00      0.730000             nan            nan
31-10-2012/05:06:00           nan             nan            nan
31-10-2012/05:07:00     -0.380000             nan            nan
31-10-2012/05:08:00      -1.18000             nan            nan
31-10-2012/05:09:00      -1.19000         276.500        7.84000
31-10-2012/05:10:00     -0.940000         275.600        7.77000
31-10-2012/05:11:00      -1.14000         272.600        8.21000
31-10-2012/05:12:00      -1.18000         269.500        7.76000
31-10-2012/05:13:00      -1.66000         273.400        7.84000
31-10-2012/05:14:00      -2.02000         273.700        8.29000
31-10-2012/05:15:00      -1.75000         273.700        8.29000
31-10-2012/05:16:00     -0.920000             nan            nan
31-10-2012/05:17:00      -2.00000             nan            nan
31-10-2012/05:18:00      -1.89000             nan            nan
