#  0 UT keV, cm^-2 s^-1 sr^-1 keV^-1
#  1 J- 37.30 keV, cm^-2 s^-1 sr^-1 keV^-1
#  2 J- 56.70 keV, cm^-2 s^-1 sr^-1 keV^-1
#  3 J- 80.40 keV, cm^-2 s^-1 sr^-1 keV^-1
#  4 J-110.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  5 J-145.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  6 J-184.90 keV, cm^-2 s^-1 sr^-1 keV^-1
#  7 J-211.30 keV, cm^-2 s^-1 sr^-1 keV^-1
#  8 J-221.10 keV, cm^-2 s^-1 sr^-1 keV^-1
#  9 J-237.15 keV, cm^-2 s^-1 sr^-1 keV^-1
# 10 J-317.36 keV, cm^-2 s^-1 sr^-1 keV^-1
# 11 J-349.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 12 J-455.94 keV, cm^-2 s^-1 sr^-1 keV^-1
# 13 J-582.73 keV, cm^-2 s^-1 sr^-1 keV^-1
# 14 Jr- 37.30 keV, cm^-2 s^-1 sr^-1 keV^-1
# 15 Jr- 56.70 keV, cm^-2 s^-1 sr^-1 keV^-1
# 16 Jr- 80.40 keV, cm^-2 s^-1 sr^-1 keV^-1
# 17 Jr-110.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 18 Jr-145.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 19 Jr-184.90 keV, cm^-2 s^-1 sr^-1 keV^-1
# 20 Jr-211.30 keV, cm^-2 s^-1 sr^-1 keV^-1
# 21 Jr-221.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 22 Jr-237.15 keV, cm^-2 s^-1 sr^-1 keV^-1
# 23 Jr-317.36 keV, cm^-2 s^-1 sr^-1 keV^-1
# 24 Jr-349.10 keV, cm^-2 s^-1 sr^-1 keV^-1
# 25 Jr-455.94 keV, cm^-2 s^-1 sr^-1 keV^-1
# 26 Jr-582.73 keV, cm^-2 s^-1 sr^-1 keV^-1
2012-10-31/15:06:36  18869.674  18666.168   2912.577    495.354    278.945    176.400    189.023    146.274    154.697    106.845    125.571     78.682     58.974     -0.011     -0.210     -0.033     -0.042      0.027     -0.020     -0.023      0.098     -0.112     -0.034     -0.031     -0.021     -0.042
2012-10-31/15:06:48  19016.695  19932.961   2985.354    558.106    249.732    170.367    200.332     99.024    166.613    106.446    118.367     80.107     59.467     -0.026     -0.187     -0.003      0.087     -0.078     -0.053      0.040     -0.257     -0.043     -0.044     -0.090     -0.000     -0.032
2012-10-31/15:07:00  19545.156  20691.227   2980.205    523.872    267.077    202.294    194.262    134.401    196.323    104.765    141.939     90.590     69.371     -0.022     -0.185     -0.001      0.026     -0.014      0.127      0.011      0.017      0.131     -0.061      0.084      0.135      0.130
2012-10-31/15:07:12  19623.566  22200.264   2874.708    469.296    272.806    199.978    164.378    117.148    187.813    120.865    129.481     84.568     58.397     -0.042     -0.155     -0.032     -0.075      0.010      0.118     -0.139     -0.105      0.082      0.080     -0.011      0.060     -0.049
2012-10-31/15:07:24  20038.334  22556.697   2901.040    485.382    278.398    169.474    193.797    134.098    150.048    110.069    140.293     82.058     56.516     -0.046     -0.169     -0.021     -0.039      0.032     -0.049      0.018      0.034     -0.137     -0.020      0.070      0.030     -0.079
2012-10-31/15:07:36  20135.254  23974.861   2846.110    485.741    323.334    208.956    178.104    124.156    163.891    115.074    125.602     81.796     58.363     -0.065     -0.144     -0.037     -0.035      0.198      0.179     -0.062     -0.039     -0.058      0.020     -0.047      0.029     -0.048
2012-10-31/15:07:48  20441.787  24674.100   2673.678    484.673    242.517    181.697    205.623    136.093    169.654     99.118    136.660     66.901     57.211     -0.076     -0.146     -0.094     -0.033     -0.101      0.024      0.084      0.052     -0.027     -0.124      0.034     -0.158     -0.067
2012-10-31/15:08:00  20624.498  25204.926   2851.355    430.272    257.652    161.682    168.766    120.637    201.517    108.394    130.447     84.390     55.492     -0.093     -0.153     -0.031     -0.135     -0.045     -0.090     -0.112     -0.068      0.156     -0.050     -0.015      0.066     -0.097
2012-10-31/15:08:12  20623.602  26060.307   2750.711    421.419    243.688    191.084    190.602    128.519    149.787     99.891    142.017     74.502     69.002     -0.117     -0.148     -0.064     -0.145     -0.099      0.078      0.005     -0.007     -0.142     -0.128      0.073     -0.057      0.123
2012-10-31/15:08:24  21642.488  26974.164   2773.429    500.194    269.804    192.511    179.716    117.942    152.304    111.272    144.828     81.960     61.982     -0.099     -0.141     -0.056      0.021     -0.001      0.088     -0.051     -0.084     -0.131     -0.025      0.089      0.040      0.012
2012-10-31/15:08:36  21758.150  28158.914   2736.325    452.919    259.334    172.147    171.323    122.919    174.269    129.316    134.379     72.008     59.505     -0.119     -0.125     -0.068     -0.074     -0.042     -0.022     -0.092     -0.044     -0.009      0.128      0.004     -0.084     -0.029
2012-10-31/15:08:48  21813.682  29721.838   2725.701    487.004    248.758    158.310    162.552    148.215    185.821    122.058    144.020     69.716     61.564     -0.142     -0.099     -0.071     -0.002     -0.083     -0.096     -0.138      0.161      0.058      0.063      0.075     -0.113      0.002
2012-10-31/15:09:00  21785.893  31905.070   2639.841    431.302    254.083    173.753    179.989    133.312    165.634    118.848    140.832     92.932     71.453     -0.168     -0.055     -0.098     -0.114     -0.062     -0.005     -0.040      0.044     -0.057      0.029      0.048      0.186      0.167
2012-10-31/15:09:12  21554.279  32946.297   2691.144    413.528    247.126    187.534    205.304    131.202    143.867    110.346    151.298     78.840     61.564     -0.201     -0.047     -0.081     -0.147     -0.086      0.076      0.097      0.025     -0.184     -0.047      0.118      0.006      0.008
2012-10-31/15:09:24  22068.729  35020.953   2769.799    438.582    246.485    174.787    192.882    121.929    167.723    108.798    145.531     76.828     53.610     -0.207     -0.009     -0.054     -0.092     -0.092      0.011      0.033     -0.048     -0.052     -0.065      0.073     -0.017     -0.126
2012-10-31/15:09:36  22639.188  36684.109   2631.857    483.587    256.867    189.446    191.831    118.759    191.317    120.440    150.047     67.072     52.929     -0.212      0.017     -0.102      0.002     -0.051      0.099      0.026     -0.073      0.080      0.033      0.102     -0.138     -0.140
2012-10-31/15:09:48  23148.383  38474.617   2671.100    412.496    264.703    164.843    159.858    103.001    176.604    140.500    162.166     89.387     65.320     -0.222      0.044     -0.090     -0.142     -0.022     -0.045     -0.144     -0.192     -0.004      0.201      0.183      0.149      0.058
2012-10-31/15:10:00  23828.568  40214.020   2583.003    468.693    262.108    180.564    186.689    112.247    160.858    101.299    178.597     70.934     53.486     -0.227      0.069     -0.122     -0.024     -0.037      0.046      0.001     -0.116     -0.093     -0.139      0.295     -0.091     -0.135
2012-10-31/15:10:12  24813.404  42317.969   2809.438    465.091    256.645    173.463    174.813    116.074    179.105    106.339    140.467     82.847     62.495     -0.223      0.103     -0.048     -0.030     -0.061      0.012     -0.064     -0.086      0.007     -0.102      0.012      0.062      0.013
2012-10-31/15:10:24  25252.770  43647.848   2673.639    432.232    277.778    186.674    190.126    114.378    183.246    124.918    145.412     79.116     73.355     -0.239      0.115     -0.097     -0.098      0.014      0.093      0.018     -0.100      0.026      0.046      0.048      0.018      0.194
2012-10-31/15:10:36  25509.613  45222.336   2688.791    468.694    260.014    176.178    185.060    131.595    162.356    125.806    132.789     73.727     62.507     -0.260      0.132     -0.095     -0.019     -0.052      0.040     -0.009      0.037     -0.091      0.046     -0.049     -0.050      0.019
